"id","adage","owner","keywords","language","created_at","updated_at"
"710","Sanat, gerçekleri tanımamıza yardımcı olan bir yalandır.","Pablo Picasso","sanat, gerçek, yalan","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"711","Dünyamızı sorularımızın cesareti ve yanıtlarımızın derinliği ile anlamlı kılarız.","Carl Sagan","anlam, soru, yanıt, derinlik,","1","2023-05-12 13:46:37","2023-05-31 14:26:12"
"712","Sinema, neyin çerçeve içinde, neyin dışında kalacağı meselesidir.","Martin Scorsese","sinema, çerçeve, kabul","1","2023-05-31 14:41:39","2023-05-31 15:02:39"
"713","İnsanlar konusunda daha az, fikirler konusunda daha çok meraklı olun.","Marie Curie","insan, fikir, gerçek, amaç, mutluluk","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"714","Güzellik fazlalıktan arınmışlıktır.","Michelangelo","güzellik, sadelik, yalınlık, arınmak","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"715","Hayatın en ısrarcı ve acil sorusu şu: Başkaları için ne yapıyorsunuz?","Martin Luther King","hayat, amaç, aciliyet, iyilik","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"716","Aşkın gizemi ölümün gizeminden daha büyüktür.","Oscar Wilde","aşk, ölüm, gizem","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"717","Sadece özgür akıl sevginin ne olduğunu bilebilir.","Jiddu Krishnamurti","özgür, akıl, sevgi","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"718","Zamanın önemsizliğini anlamak bilgeliğin kapısıdır.","Bertrand Russell","zaman, akıl, bilgelik, önem","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
"719","İyi bir çalışmanın ödülü daha fazlasını yapabilmek fırsatı vermesidir.","Jonas Salk","çalışma, başarı, ödül, gelişmek","1","2024-02-19 15:41:03","2024-02-19 15:41:03"
