id,owner,adage,keywords,language,created_at,updated_at
708,Voltaire,"Erdem özgürlük gerektirir.","mükemmellik, iyi, düşman, voltaire, gayret",1,"2024-02-19 06:19:20","2024-02-19 06:19:20"
709,Sokrates,"Hayret etmek bir filozofun hissidir ve felsefe hayret etmekle başlar.","felsefe, hayret, merak",1,"2024-02-19 15:39:37","2024-02-19 15:39:37"
710,"Pablo Picasso","Sanat, gerçekleri tanımamıza yardımcı olan bir yalandır.","sanat, gerçek, yalan",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
711,"Carl Sagan","Dünyamızı sorularımızın cesareti ve yanıtlarımızın derinliği ile anlamlı kılarız.","anlam, soru, yanıt, derinlik,",1,"2023-05-12 13:46:37","2023-05-31 14:26:12"
712,"Martin Scorsese","Sinema, neyin çerçeve içinde, neyin dışında kalacağı meselesidir.","sinema, çerçeve, kabul",1,"2023-05-31 14:41:39","2023-05-31 15:02:39"
713,"Marie Curie","İnsanlar konusunda daha az, fikirler konusunda daha çok meraklı olun.","insan, fikir, gerçek, amaç, mutluluk",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
714,Michelangelo,"Güzellik fazlalıktan arınmışlıktır.","güzellik, sadelik, yalınlık, arınmak",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
715,"Martin Luther King","Hayatın en ısrarcı ve acil sorusu şu: Başkaları için ne yapıyorsunuz?","hayat, amaç, aciliyet, iyilik",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
716,"Oscar Wilde","Aşkın gizemi ölümün gizeminden daha büyüktür.","aşk, ölüm, gizem",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
717,"Jiddu Krishnamurti","Sadece özgür akıl sevginin ne olduğunu bilebilir.","özgür, akıl, sevgi",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
718,"Bertrand Russell","Zamanın önemsizliğini anlamak bilgeliğin kapısıdır.","zaman, akıl, bilgelik, önem",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
719,"Jonas Salk","İyi bir çalışmanın ödülü daha fazlasını yapabilmek fırsatı vermesidir.","çalışma, başarı, ödül, gelişmek",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
720,"Michel de Montaigne (Denemeler, I. kitap, 9. bölüm)","Bir amaca bağlanmayan ruh yolunu kaybeder. Çünkü her yerde olmak hiçbir yerde olmamaktır.","amaç, yaşam, yol, hedef",1,"2024-02-19 15:41:03","2024-02-19 15:41:03"
721,"Fyodor Dostoyevski","İnsan varoluşunun gizemi yalnızca hayatta kalmakta değil, uğrunda yaşanacak bir şey bulmakta yatar.","Yaşamak, amaç, ölmek",1,"2024-02-27 09:22:23","2024-02-27 09:22:23"
722,"Yahudi Atasözü","Tanrı cezalandırmak istediği kişiye yüksek bir farkındalık bahşeder.","farkındalık, yaşamak, ceza",1,"2024-03-27 17:24:23","2024-03-27 17:24:23"
723,"Tibet Atasözü","Sağlıklı ve uzun yaşamak için yarısını yiyin, iki kat yürüyün, üç kat gülün ve sınırsız sevin.","sevgi, sağlık, yaşam, gülmek, yürümek, yemek",1,"2024-04-02 08:56:53","2024-04-02 08:56:53"
724,Fuzuli,"Karıncayı bile incitmem deme! Bile'den incinir karınca. Söz söylemek irfan ister, anlamak insan.","söz, kelam, karınca, dikkat, özen, irfan, insan",1,"2024-04-04 14:21:38","2024-04-04 14:21:38"
725,Epiktetos,"Ölçüyü bir defa aşan için sınır diye bir şey olmaz artık.","ölçü, yaşam, sınır, bozulmak, aşırılık",1,"2024-04-15 18:32:14","2024-04-15 18:32:14"
726,"Winnie the Pooh","Köşende oturup insanların sana gelmesini bekleyemezsin. Bazen senin onlara gitmen gerekir.","yaşam, hareket, beklenti",1,"2024-04-24 09:00:29","2024-04-24 09:00:29"
727,"Charles Darwin","Hayatının bir saatini bile boşa harcamaya cüret edebilen biri, hayatın değerini anlamamıştır.","zaman, yönetimi, boş, harcama, değer",1,"2024-05-03 11:25:28","2024-05-03 11:25:28"
728,Sokrates,"İnsanın hiçbir şey bilmediğini bilmesi için, çok şey öğrenmesi gerekir.","bilmek, öğrenmek, yaşamak",1,"2024-05-12 12:34:00","2024-05-12 12:34:00"
729,"İoanna Kuçuradi","Düşünceye düşünceyle karşı çıkılır, cezayla değil.","düşünce, ceza, savaş, karşıtlık",1,"2024-05-30 12:06:59","2024-05-30 12:06:59"
730,"Friedrich Nietzsche","Müziğin sesini duymayanlar, dans edenleri deli sanırlar.","dans, bakış açısı, yaşam",1,"2024-08-12 20:28:57","2024-08-12 20:28:57"
731,"Mevlânâ Celâleddîn-i Rûmî","İnsanın kanadı gayretidir.","gayret, amaç, insan, olmak",1,"2024-08-13 17:11:05","2024-08-13 17:11:05"
732,"Mevlânâ Celâleddîn-i Rûmî","Testide ne varsa, dışına o sızar.","iç, öz",1,"2024-08-13 17:14:44","2024-08-13 17:14:44"
733,Seneca,"Vaktinden önce mutsuz olma.","acı, yaşam, elem",1,"2024-08-13 17:21:24","2024-08-13 17:21:24"
734,"Sun Tzu","Savaşlarınızda seçici olun. Her savaş kazanmaya değmez.","savaş, barış, seçim, kazanmak",1,"2024-08-26 15:28:54","2024-08-26 15:28:54"
735,"Marcus Aurelius","Psikolojik olarak sağlam olmak; hayatın adil olmadığını bilip yine de kazanmaya oynamaktır.","kazanmak, psikoloji, hayat, adalet, çaba",1,"2024-08-26 15:28:54","2024-08-26 15:28:54"
736,"Lao Tzu","Kendini gerçekleştirmek, içindeki şeytanları baskılarken onlarla arkadaş da olmaktır.","kendini gerçekleştirmek, şeytan, arkadaş",1,"2024-08-26 15:32:44","2024-08-26 15:32:44"
737,"Mahir Yıldızhan","Aşk, çok sevginin kalıcı olacağı yanılsamasıdır.","aşk, sevgi, yanılsama",1,"2024-08-28 07:26:45","2024-08-28 07:26:45"
738,"Marcus Aurelius","Zevkler belli bir sınırı aştığında, sadece cezadır.","zevk, ceza, sınır, aşırılık",1,"2024-09-15 17:33:33","2024-09-15 17:33:33"
739,"Nizar Kabbânî","Sen kim olduğuna karar veremediğin zaman, senin kim olduğuna başkası karar verecektir...","karar, yaşam, bilgi, kimlik, kişilik, dış etki",1,"2024-09-23 21:16:50","2024-09-23 21:16:50"
740,Horace,"Mümkün olsaydı her karış toprağa buğday eker gibi kitap ekerdim.","kitap, bilgi, kıymet, değer",1,"2024-09-25 13:48:47","2024-09-25 13:48:47"
741,"Victor Hugo","Yarınlar hep güzel olacak denir. Oysa bugünler, dünün yarınları değil midir?","mutluluk, anı yakalamak, güzel, gün, yaşam, an",1,"2024-10-03 06:07:22","2024-10-03 06:07:22"
742,"Carl Gustav Jung","İletişimde en önemli şey, söylenmeyeni işitmektir.","iletişim, söz, ima,",1,"2024-11-04 12:05:53","2024-11-04 12:05:53"
743,"Marcel Proust","Gerçek yolculuk, yeni yerler aramak değil, yeni bir gözle bakmaktır.","yolculuk, göz, mekan, yol",1,"2024-11-23 11:04:36","2024-11-23 11:04:36"
744,"Victor Emil Frankl","Anlamı olan bir hayat, ne kadar zor olursa olsun yaşamaya değerdir.","anlam, insan, yaşam",1,"2025-01-19 13:54:01","2025-01-19 13:54:01"
745,"Kemal Varol","Acı geçiyor, acı elbette geçiyor, acı çekmiş olmak geçmiyor.","acı, yaşamak, hayat",1,"2025-07-16 17:47:08","2025-07-16 17:47:08"
746,Goethe,"İnsanın başına gelen kötü şey yapayalnız kalması değil, yapayalnız hissetmesine neden olacak insanlarla birlikte yaşamasıdır.","yaşam, yalnızlık, his, doğru, insan",1,"2025-07-19 14:51:13","2025-07-19 14:51:13"
747,"Halil Cibran","Yalnızlık, tüm ölü dallarımızı parçalayan sessiz bir fırtınadır. Buna rağmen yaşayan köklerimizi, yaşayan dünyanın yaşayan kalbinin daha derinlerine ulaştırır.","yaşam, yalnızlık, ölü",1,"2025-07-20 08:14:51","2025-07-20 08:14:51"
748,"Mahir Yıldızhan","Kimse düşündüğün kadar masum değil, ya da kalmayacak…","masumiyet, yaşam",1,"2025-08-16 20:17:20","2025-08-16 20:17:20"
749,"Mahir Yıldızhan","Kimin umrundayım? Bilmiyorum. Ama hayat kimsenin umrunda değil, onu biliyorum!","Mahir Yıldızhan 12/11/2024 Salı 23:46",1,"2025-08-16 20:20:36","2025-08-16 20:20:36"
750,"Mahir Yıldızhan","Felsefe;  cevabını bulamayacağın zor sorularına cevap arayıp, bu yolculukla yaşamına anlam katmaktır.",,1,"2025-08-16 20:21:29","2025-08-16 20:21:29"
751,Anonim,"Hayat demek ölümü beklemektir.","Hayat, ölüm, beklemek, acı, sevinç, düğün",1,"2025-11-05 07:56:14","2025-11-05 07:56:14"
752,"Slavoj Žižek","Kötülerin kaybetmediği bir ülke, çocuklarına ahlâkı öğretemez.","ahlak, ülke, çocuk",1,"2025-11-10 09:33:41","2025-11-10 09:33:41"
753,"Zig Ziglar","Başlamak için mükemmel olmanıza gerek yok, ama mükemmel olmanız için başlamanız gerekir.","başlamak, mükemmel, süreç",1,"2025-11-12 21:45:05","2025-11-12 21:45:05"
754,Sokrates,"Senin almaya cesaret edemediğin riskleri alanlar, senin yaşamak istediğin hayatı yaşarlar.","risk, cesaret, hayat, başlamak",1,"2025-11-12 21:47:49","2025-11-12 21:47:49"
755,"Aytuğ Akdoğan, Youtube","Öfkelendiğin şey seni kontrol eder.","öfke, kontrol",1,"2026-01-01 22:46:24","2026-01-01 22:46:24"
